sku,name,brand,category,subcategory,description,material,sizes,color,pack_qty,case_qty,price,bulk_price,image_url,in_stock,featured
GLV-GL-N105FX,ProWorks Nitrile Exam Gloves - Powder Free,Hospeco,Disposable Gloves,Nitrile,Premium quality nitrile exam gloves. Powder-free latex-free formula provides excellent tactile sensitivity and durability. Textured fingertips for enhanced grip. Ideal for medical food service and industrial applications.,Nitrile,S M L XL,Blue,100,1000,12.99,9.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,1
GLV-GL-N105FB,ProWorks Nitrile Gloves - Black,Hospeco,Disposable Gloves,Nitrile,Professional-grade black nitrile gloves. Perfect for automotive tattoo and salon industries. Powder-free and latex-free with superior puncture resistance.,Nitrile,S M L XL 2XL,Black,100,1000,14.99,11.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,1
GLV-GL-L101F,ProWorks Latex Exam Gloves - Powder Free,Hospeco,Disposable Gloves,Latex,High-quality latex exam gloves with excellent elasticity and comfort. Powder-free formula reduces allergic reactions. Beaded cuff for easy donning.,Latex,S M L XL,Natural,100,1000,10.99,7.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-GL-V104F,ProWorks Vinyl Gloves - Powder Free,Hospeco,Disposable Gloves,Vinyl,Economical vinyl gloves for light-duty applications. Latex-free and powder-free. Ideal for food handling janitorial and general purpose use.,Vinyl,S M L XL,Clear,100,1000,7.99,5.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-GL-N108FX,ProWorks Nitrile Gloves - 8 Mil Heavy Duty,Hospeco,Disposable Gloves,Nitrile,Heavy-duty 8 mil nitrile gloves for industrial applications. Superior chemical resistance and puncture protection. Textured surface for enhanced grip.,Nitrile,M L XL 2XL,Blue,50,500,18.99,14.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,1
GLV-705PFE,Panther-Guard Nitrile Gloves - Industrial Grade,Global Glove,Disposable Gloves,Nitrile,Industrial grade nitrile gloves with exceptional chemical resistance. 5 mil thickness provides durability for demanding applications. Textured for excellent wet and dry grip.,Nitrile,S M L XL 2XL,Blue,100,1000,15.99,12.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,1
GLV-705PFB,Panther-Guard Nitrile Gloves - Black,Global Glove,Disposable Gloves,Nitrile,Black nitrile gloves with 5 mil thickness. Ideal for automotive mechanics tattoo artists and industrial workers. Superior grip and durability.,Nitrile,S M L XL 2XL,Black,100,1000,16.99,13.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-SAM-500,Samurai Cut Resistant Gloves - ANSI A5,Global Glove,Work Gloves,Cut Resistant,ANSI A5 cut resistant gloves with HPPE yarn construction. Excellent dexterity and flexibility. Machine washable. Ideal for food processing and manufacturing.,HPPE/Nitrile,S M L XL 2XL,Green,12,72,89.99,69.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,1
GLV-SAM-300,Samurai Cut Resistant Gloves - ANSI A3,Global Glove,Work Gloves,Cut Resistant,ANSI A3 cut resistant gloves with HPPE and steel core yarn. Balanced protection and dexterity. Perfect for general manufacturing and assembly.,HPPE/Steel,S M L XL 2XL,Silver,12,72,64.99,51.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-FRG-200,FrogWear Coated Work Gloves,Global Glove,Work Gloves,Coated,Foam nitrile coated work gloves with excellent grip. 15-gauge shell for dexterity. Ideal for general assembly and material handling.,Nylon/Nitrile,S M L XL,Gray,12,144,42.99,33.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-SAF-N100,Safeko Nitrile Exam Gloves - Premium,Safeko,Disposable Gloves,Nitrile,Premium nitrile exam gloves with superior fit and feel. 4 mil thickness balances protection and sensitivity. Micro-textured surface for precise handling.,Nitrile,XS S M L XL,Blue,100,1000,13.49,10.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-SAF-N200,Safeko Nitrile Gloves - Food Service,Safeko,Disposable Gloves,Nitrile,FDA compliant nitrile gloves for food handling. Blue color for easy detection. Powder-free and ambidextrous design.,Nitrile,S M L XL,Blue,100,1000,11.99,8.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-SAF-N300,Safeko Nitrile Gloves - 6 Mil,Safeko,Disposable Gloves,Nitrile,Heavy-duty 6 mil nitrile gloves for industrial applications. Enhanced chemical resistance and durability. Textured fingertips for superior grip.,Nitrile,M L XL 2XL,Blue,50,500,17.99,14.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,1
GLV-PIP-34874,MaxiFlex Ultimate Gloves,PIP,Work Gloves,Coated,Industry-leading coated work gloves with micro-foam nitrile. 360-degree breathability with patented coating technology. Silicone-free.,Nylon/Nitrile,XS S M L XL 2XL 3XL,Gray/Black,12,144,48.99,38.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,1
GLV-PIP-34876,MaxiFlex Cut A3 Gloves,PIP,Work Gloves,Cut Resistant,ANSI A3 cut resistant gloves with micro-foam nitrile coating. Engineered yarn for flexibility and dexterity. Machine washable.,Engineered Yarn/Nitrile,XS S M L XL 2XL,Green/Black,12,72,64.99,51.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-PIP-34878,MaxiFlex Cut A4 Gloves,PIP,Work Gloves,Cut Resistant,ANSI A4 cut resistant gloves with superior protection. Micro-foam nitrile coating for excellent grip. Ideal for metal fabrication and glass handling.,Engineered Yarn/Nitrile,S M L XL 2XL,Green,12,72,74.99,59.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-MCR-9672,MCR Safety UltraTech Foam Nitrile,MCR Safety,Work Gloves,Coated,Premium foam nitrile coated work gloves. 15-gauge nylon shell for excellent dexterity. Foam nitrile provides breathability and grip.,Nylon/Nitrile,S M L XL 2XL,Gray/Blue,12,144,42.99,33.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-MCR-9680,MCR Safety Cut Pro A5 Gloves,MCR Safety,Work Gloves,Cut Resistant,ANSI A5 cut resistant gloves with Dyneema fiber. Maximum cut protection with excellent dexterity. Machine washable and durable.,Dyneema/Nitrile,S M L XL 2XL,Green,12,72,92.99,74.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,1
GLV-MCR-9675,MCR Safety Impact Pro Gloves,MCR Safety,Work Gloves,Impact,ANSI Type I impact resistant gloves with TPR padding. Protects against impact and vibration. Ideal for construction and heavy industry.,Nylon/TPR,S M L XL 2XL,Black/Yellow,12,72,78.99,63.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-ANS-11800,Ansell HyFlex 11-800 Foam Nitrile,Ansell,Work Gloves,Coated,Ultra-lightweight foam nitrile coated gloves. 18-gauge nylon liner for maximum dexterity. Excellent for precision assembly.,Nylon/Nitrile,S M L XL,Gray,12,144,54.99,43.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-ANS-11802,Ansell HyFlex 11-802 Cut A4,Ansell,Work Gloves,Cut Resistant,ANSI A4 cut resistant gloves with HyFlex technology. Superior dexterity and flexibility. Machine washable.,Engineered Yarn/Nitrile,S M L XL 2XL,Green,12,72,79.99,64.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,1
GLV-SHW-370,SHOWA Atlas 370 Nitrile Gloves,SHOWA,Work Gloves,Coated,Original assembly grip gloves. Flat nitrile palm coating offers excellent dry grip. Seamless knit liner for comfort.,Nylon/Nitrile,XS S M L XL 2XL,Black,12,144,39.99,31.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-SHW-300,SHOWA Atlas 300 Nitrile Gloves,SHOWA,Work Gloves,Coated,Lightweight nitrile coated gloves with excellent dexterity. Ideal for light assembly and material handling. Comfortable fit.,Nylon/Nitrile,XS S M L XL,Gray,12,144,34.99,27.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-SHW-451,SHOWA Atlas 451 Cut A5,SHOWA,Work Gloves,Cut Resistant,ANSI A5 cut resistant gloves with HPPE fiber. Excellent dexterity and flexibility. Machine washable.,HPPE/Nitrile,S M L XL 2XL,Green,12,72,86.99,69.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-WSL-111,Wells Lamont Leather Work Gloves,Wells Lamont,Work Gloves,Leather,Premium grain leather work gloves with keystone thumb. Shirred elastic wrist for secure fit. Ideal for general construction and yard work.,Cowhide Leather,S M L XL,Tan,12,72,119.99,94.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-WSL-112,Wells Lamont Premium Leather Gloves,Wells Lamont,Work Gloves,Leather,Premium cowhide leather gloves with reinforced palm. Double stitched for durability. Perfect for heavy-duty construction work.,Cowhide Leather,S M L XL 2XL,Brown,12,72,139.99,111.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-AMS-N300,Ambitex Nitrile Select - Blue,Ambitex,Disposable Gloves,Nitrile,High-quality nitrile gloves at an economical price point. Powder-free with textured fingertips. Suitable for medical and industrial use.,Nitrile,S M L XL,Blue,100,1000,11.49,8.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-AMS-N400,Ambitex Nitrile Select - Black,Ambitex,Disposable Gloves,Nitrile,Economical black nitrile gloves for automotive and industrial use. Powder-free and latex-free. Good value for bulk purchases.,Nitrile,S M L XL 2XL,Black,100,1000,12.49,9.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-AMS-V200,Ambitex Vinyl Gloves - Clear,Ambitex,Disposable Gloves,Vinyl,Budget-friendly vinyl gloves for light-duty applications. Latex-free and powder-free. Ideal for food service and janitorial.,Vinyl,S M L XL,Clear,100,1000,6.99,4.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-HOSP-N106FX,Hospeco Nitrile Exam Gloves - 6 Mil,Hospeco,Disposable Gloves,Nitrile,Heavy-duty 6 mil nitrile exam gloves. Enhanced protection for medical and industrial applications. Powder-free and latex-free.,Nitrile,M L XL 2XL,Blue,50,500,16.99,13.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-HOSP-L102F,Hospeco Latex Exam Gloves - Powdered,Hospeco,Disposable Gloves,Latex,Economical latex exam gloves with powder for easy donning. Excellent elasticity and comfort. Ideal for general medical use.,Latex,S M L XL,Natural,100,1000,9.99,7.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-GG-710PFE,Global Glove Panther-Guard 7 Mil,Global Glove,Disposable Gloves,Nitrile,Extra heavy-duty 7 mil nitrile gloves for demanding industrial applications. Superior chemical resistance and durability.,Nitrile,M L XL 2XL,Blue,50,500,19.99,15.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,1
GLV-GG-705PFW,Global Glove Panther-Guard White,Global Glove,Disposable Gloves,Nitrile,White nitrile gloves for clean room and food service applications. 5 mil thickness with powder-free formula.,Nitrile,S M L XL,White,100,1000,16.49,12.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-PIP-34880,MaxiFlex SE Gloves,PIP,Work Gloves,Coated,Special edition coated work gloves with enhanced grip. Micro-foam nitrile coating for superior handling. Ideal for precision work.,Nylon/Nitrile,XS S M L XL 2XL,Gray,12,144,52.99,42.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-MCR-9685,MCR Safety Chemical Resistant Gloves,MCR Safety,Work Gloves,Chemical,Heavy-duty chemical resistant gloves with nitrile coating. Protects against oils solvents and chemicals. Ideal for automotive and industrial use.,Nitrile Coated,S M L XL 2XL,Black,12,72,68.99,55.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-ANS-11805,Ansell HyFlex 11-805 Impact,Ansell,Work Gloves,Impact,ANSI Type II impact resistant gloves with TPR padding. Protects against impact and vibration. Excellent dexterity.,Nylon/TPR,S M L XL 2XL,Black/Yellow,12,72,89.99,72.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-SHW-452,SHOWA Atlas 452 Cut A6,SHOWA,Work Gloves,Cut Resistant,ANSI A6 cut resistant gloves with maximum protection. HPPE and steel core yarn construction. Ideal for metal fabrication.,HPPE/Steel,S M L XL 2XL,Silver,12,72,98.99,79.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,1
GLV-WSL-115,Wells Lamont Insulated Work Gloves,Wells Lamont,Work Gloves,Insulated,Insulated leather work gloves with Thinsulate lining. Keeps hands warm in cold conditions. Ideal for outdoor construction work.,Leather/Thinsulate,S M L XL 2XL,Brown,12,72,149.99,119.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-SAF-N400,Safeko Nitrile Gloves - Sterile,Safeko,Disposable Gloves,Nitrile,Sterile nitrile exam gloves for surgical and medical procedures. Individually packaged. Meets FDA requirements for sterile medical devices.,Nitrile,S M L XL,Blue,50,500,24.99,19.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-HOSP-N107FX,Hospeco Nitrile Exam Gloves - 7 Mil,Hospeco,Disposable Gloves,Nitrile,Extra heavy-duty 7 mil nitrile gloves for maximum protection. Superior puncture and chemical resistance. Ideal for industrial applications.,Nitrile,M L XL 2XL,Blue,50,500,21.99,17.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,1
GLV-GG-SAM-600,Global Glove Samurai Cut A6,Global Glove,Work Gloves,Cut Resistant,ANSI A6 cut resistant gloves with maximum protection. HPPE and steel core yarn. Ideal for metal fabrication and glass handling.,HPPE/Steel,S M L XL 2XL,Silver,12,72,94.99,76.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-PIP-34882,MaxiFlex Grip Gloves,PIP,Work Gloves,Coated,Enhanced grip coated work gloves with micro-foam nitrile. Superior handling in wet and dry conditions. Ideal for manufacturing and assembly.,Nylon/Nitrile,XS S M L XL 2XL,Gray,12,144,49.99,39.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-MCR-9690,MCR Safety Heat Resistant Gloves,MCR Safety,Work Gloves,Heat,Heat resistant gloves rated up to 500°F. Kevlar and leather construction. Ideal for welding and foundry work.,Kevlar/Leather,S M L XL 2XL,Black,12,72,124.99,99.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-ANS-11810,Ansell HyFlex 11-810 Cut A5,Ansell,Work Gloves,Cut Resistant,ANSI A5 cut resistant gloves with HyFlex technology. Superior dexterity and flexibility. Machine washable and durable.,Engineered Yarn/Nitrile,S M L XL 2XL,Green,12,72,84.99,68.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-SHW-380,SHOWA Atlas 380 Heat Resistant,SHOWA,Work Gloves,Heat,Heat resistant gloves rated up to 450°F. Kevlar and leather construction. Ideal for welding and high-temperature applications.,Kevlar/Leather,S M L XL 2XL,Black,12,72,112.99,89.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-WSL-120,Wells Lamont Waterproof Work Gloves,Wells Lamont,Work Gloves,Waterproof,Waterproof leather work gloves with sealed seams. Keeps hands dry in wet conditions. Ideal for outdoor and marine work.,Leather/PVC,S M L XL 2XL,Brown,12,72,129.99,103.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-AMS-N500,Ambitex Nitrile Select - Purple,Ambitex,Disposable Gloves,Nitrile,Purple nitrile gloves for color-coding applications. Powder-free and latex-free. Ideal for food service and healthcare.,Nitrile,S M L XL,Purple,100,1000,13.49,10.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-HOSP-N108FB,Hospeco Nitrile Gloves - 8 Mil Black,Hospeco,Disposable Gloves,Nitrile,Heavy-duty 8 mil black nitrile gloves for maximum protection. Superior chemical resistance. Ideal for automotive and industrial use.,Nitrile,M L XL 2XL,Black,50,500,19.99,15.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-GG-705PFG,Global Glove Panther-Guard Green,Global Glove,Disposable Gloves,Nitrile,Green nitrile gloves for color-coding in food service and healthcare. 5 mil thickness with powder-free formula.,Nitrile,S M L XL,Green,100,1000,16.49,12.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-PIP-34884,MaxiFlex Impact Gloves,PIP,Work Gloves,Impact,ANSI Type II impact resistant gloves with TPR padding. Protects against impact and vibration. Excellent dexterity and flexibility.,Nylon/TPR,S M L XL 2XL,Black/Yellow,12,72,87.99,70.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-MCR-9695,MCR Safety Cold Weather Gloves,MCR Safety,Work Gloves,Insulated,Insulated work gloves with Thinsulate lining. Keeps hands warm in cold conditions. Ideal for outdoor construction and warehouse work.,Nylon/Thinsulate,S M L XL 2XL,Black,12,72,79.99,64.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-ANS-11815,Ansell HyFlex 11-815 Chemical,Ansell,Work Gloves,Chemical,Chemical resistant gloves with nitrile coating. Protects against oils solvents and chemicals. Ideal for automotive and industrial applications.,Nitrile Coated,S M L XL 2XL,Black,12,72,72.99,58.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-SHW-390,SHOWA Atlas 390 Chemical Resistant,SHOWA,Work Gloves,Chemical,Chemical resistant gloves with nitrile coating. Protects against oils solvents and chemicals. Ideal for automotive and industrial use.,Nitrile Coated,S M L XL 2XL,Black,12,72,65.99,52.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-WSL-125,Wells Lamont Reinforced Palm Gloves,Wells Lamont,Work Gloves,Leather,Premium leather work gloves with reinforced palm. Double stitched for durability. Ideal for heavy-duty construction and landscaping.,Cowhide Leather,S M L XL 2XL,Brown,12,72,159.99,127.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-AMS-V300,Ambitex Vinyl Gloves - Powdered,Ambitex,Disposable Gloves,Vinyl,Economical powdered vinyl gloves for easy donning. Latex-free formula. Ideal for food service and general purpose use.,Vinyl,S M L XL,Clear,100,1000,6.49,4.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-HOSP-V105F,Hospeco Vinyl Gloves - Powdered,Hospeco,Disposable Gloves,Vinyl,Powdered vinyl gloves for easy donning. Latex-free and economical. Ideal for food service and janitorial applications.,Vinyl,S M L XL,Clear,100,1000,7.49,5.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-GG-705PFP,Global Glove Panther-Guard Purple,Global Glove,Disposable Gloves,Nitrile,Purple nitrile gloves for color-coding applications. 5 mil thickness with powder-free formula. Ideal for food service and healthcare.,Nitrile,S M L XL,Purple,100,1000,16.49,12.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-PIP-34886,MaxiFlex Chemical Gloves,PIP,Work Gloves,Chemical,Chemical resistant gloves with nitrile coating. Protects against oils solvents and chemicals. Excellent dexterity and flexibility.,Nitrile Coated,S M L XL 2XL,Black,12,72,69.99,56.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-MCR-9700,MCR Safety Welding Gloves,MCR Safety,Work Gloves,Heat,Heavy-duty welding gloves rated up to 600°F. Kevlar and leather construction with extended cuff. Ideal for welding and foundry work.,Kevlar/Leather,S M L XL 2XL,Black,12,72,134.99,107.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-ANS-11820,Ansell HyFlex 11-820 Heat Resistant,Ansell,Work Gloves,Heat,Heat resistant gloves rated up to 475°F. Kevlar and leather construction. Ideal for welding and high-temperature applications.,Kevlar/Leather,S M L XL 2XL,Black,12,72,118.99,95.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-SHW-400,SHOWA Atlas 400 Welding Gloves,SHOWA,Work Gloves,Heat,Heavy-duty welding gloves rated up to 550°F. Kevlar and leather construction with extended cuff. Ideal for welding and foundry work.,Kevlar/Leather,S M L XL 2XL,Black,12,72,128.99,103.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-WSL-130,Wells Lamont Goatskin Work Gloves,Wells Lamont,Work Gloves,Leather,Premium goatskin leather work gloves with superior flexibility. Ideal for precision work requiring excellent dexterity.,Goatskin Leather,S M L XL,Tan,12,72,169.99,135.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-AMS-N600,Ambitex Nitrile Select - Green,Ambitex,Disposable Gloves,Nitrile,Green nitrile gloves for color-coding applications. Powder-free and latex-free. Ideal for food service and healthcare.,Nitrile,S M L XL,Green,100,1000,13.49,10.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-HOSP-L103F,Hospeco Latex Exam Gloves - Sterile,Hospeco,Disposable Gloves,Latex,Sterile latex exam gloves for surgical procedures. Individually packaged. Meets FDA requirements for sterile medical devices.,Latex,S M L XL,Natural,50,500,22.99,18.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-GG-705PFY,Global Glove Panther-Guard Yellow,Global Glove,Disposable Gloves,Nitrile,Yellow nitrile gloves for color-coding in food service and healthcare. 5 mil thickness with powder-free formula.,Nitrile,S M L XL,Yellow,100,1000,16.49,12.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-PIP-34888,MaxiFlex Heat Gloves,PIP,Work Gloves,Heat,Heat resistant gloves rated up to 500°F. Kevlar and leather construction. Ideal for welding and high-temperature applications.,Kevlar/Leather,S M L XL 2XL,Black,12,72,119.99,95.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-MCR-9705,MCR Safety Cold Weather Insulated,MCR Safety,Work Gloves,Insulated,Insulated work gloves with Thinsulate lining and waterproof shell. Keeps hands warm and dry in cold conditions.,Nylon/Thinsulate/PVC,S M L XL 2XL,Black,12,72,89.99,72.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-ANS-11825,Ansell HyFlex 11-825 Insulated,Ansell,Work Gloves,Insulated,Insulated work gloves with Thinsulate lining. Keeps hands warm in cold conditions. Ideal for outdoor construction and warehouse work.,Nylon/Thinsulate,S M L XL 2XL,Black,12,72,94.99,76.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-SHW-410,SHOWA Atlas 410 Insulated,SHOWA,Work Gloves,Insulated,Insulated work gloves with Thinsulate lining. Keeps hands warm in cold conditions. Ideal for outdoor construction and warehouse work.,Nylon/Thinsulate,S M L XL 2XL,Black,12,72,84.99,68.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-WSL-135,Wells Lamont Deerskin Work Gloves,Wells Lamont,Work Gloves,Leather,Premium deerskin leather work gloves with superior softness and flexibility. Ideal for precision work requiring excellent dexterity.,Deerskin Leather,S M L XL,Tan,12,72,179.99,143.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
